name,city,street_address,logo_url,latitude,longitude
Acibadem Hospital,Istanbul,Yesilkoy Mahallesi Istanbul Street No:82 Istanbul,https://static.marham.pk/assets/images/default-hospital-image.jpg,,
Acibadem Hospital,Istanbul,Inonu Mahallesi Street 9. Taksim Sisli Istanbul,https://static.marham.pk/assets/images/default-hospital-image.jpg,41.041739,28.982731
Anadoglu Medical Center,Istanbul,Cumhuriyet Mahallesi Gebze Kocaeli Istanbul,https://static.marham.pk/assets/images/default-hospital-image.jpg,,
Bakirkoy Psychiatric Hospital,Istanbul,"Zuhuratbaba Mahallesi, Dr.Tevfik Saglam Street 25/2 Bakirkoy Turkey Istanbul",https://static.marham.pk/assets/images/default-hospital-image.jpg,,
Baskent University Hospital,Istanbul,Yukari Bahcelievler Mahallesi Street 45 Cankaya Ankara Istanbul,https://static.marham.pk/assets/images/default-hospital-image.jpg,41.024795,29.041027
Florence Nightingale Hospital,Istanbul,"Merkez Mahallesi, Abide i Hurriyet Street# 166 Sisli Istanbul",https://static.marham.pk/assets/images/default-hospital-image.jpg,,
Allama Iqbal Hospital Haripur,Haripur,"Shakar Shah Rd, Mohallah Ferozpura Mohalla Ferozpura Harbor Haripur",https://static.marham.pk/assets/images/default-hospital-image.jpg,33.997086,72.936384
Yahya Hospital Haripur,Haripur,"Habib Plaza, Haripur-Abbottabad  Sabzi Mandi Darvesh Abbottabad Rd Haripur",https://static.marham.pk/assets/images/default-hospital-image.jpg,33.995233,72.928467
Faizan Skin Care Clinic,Haripur,Sheranwalagate Chowk Mohalla Asifabad Haripur,https://static.marham.pk/assets/images/default-hospital-image.jpg,34.000627,72.930023
Mehar General Hospital & Maternity Home,Haripur,GPO Road Dak-Khana Rd Mohalla Qadeem Haripur,https://static.marham.pk/assets/images/default-hospital-image.jpg,33.99601,72.931915
NOOR SURGICAL HOSPITAL,Haripur,GT ROAD NEAR D-STOP Haripur Haripur,https://static.marham.pk/assets/images/default-hospital-image.jpg,,
Bashir Dental Clinic,Haripur,"SanaULLAH surgical, Doctor plaza, Haripur KPK Haripur",https://static.marham.pk/assets/images/default-hospital-image.jpg,,
Super Diagnostic Center,Hyderabad,"Near LUMS Research Lab, Doctors Line Saddar Hyderabad",https://static.marham.pk/assets/images/default-hospital-image.jpg,,
St. Elizabeth Hospital (American Hospital),Hyderabad,Unit#7 Latifabad Latifabad Hyderabad,https://static.marham.pk/assets/images/default-hospital-image.jpg,,
Arthritis and Osteoporosis Clinic,Hyderabad,Near Meezan Bank Main Doctors line Saddar Hyderabad,https://static.marham.pk/assets/images/default-hospital-image.jpg,,
Sindh diagnostic center,Hyderabad,"Near meezan bank, doctors lane Sadar Hyderabad",https://static.marham.pk/assets/images/default-hospital-image.jpg,,
Laser Sight Advanced Laser Eye Clinic,Hyderabad,"Near AL-Rahim Restaurant,  Unit # 7 Latifabad Hyderabad",https://static.marham.pk/assets/images/default-hospital-image.jpg,25.371005,68.353542
St. Elizabeth Hospital,Hyderabad,Unit no 7 Latifabad Hyderabad,https://static.marham.pk/assets/images/default-hospital-image.jpg,25.372708,68.356297
Saqib Bashir General Hospital,Hafizabad,Sarodha Road Thatha Phattak Hafizabad,https://static.marham.pk/assets/images/default-hospital-image.jpg,,
Zam Zam Hospital,Hafizabad,Hafizabad Bypass Bypass Hafizabad,https://static.marham.pk/assets/images/default-hospital-image.jpg,,
Eman Medical Tower,Hafizabad,Jalalpur Rd Main Hafizabaad Hafizabad,https://static.marham.pk/assets/images/default-hospital-image.jpg,32.068412,73.67499
Fazal Poly Clinic,Hafizabad,Jalalpur Rd rasheedpura Hafizabad,https://static.marham.pk/assets/images/default-hospital-image.jpg,,
Akram Clinic,Hafizabad,Opposite Government High School # 1 Railway Road Hafizabad,https://static.marham.pk/assets/images/default-hospital-image.jpg,,
BabyCare Clinic,Hafizabad,Old buidlding kashaf foundation Near Allied bank Madrianwala Road Hafizabad,https://static.marham.pk/assets/images/default-hospital-image.jpg,31.578195,74.3146
Hangu Medical Complex Hospital,Hangu,"Hangu, Khyber Pakhtunkhwa, Pakistan Hangu,Khyber Pahktunkhwa Hangu",https://static.marham.pk/assets/images/default-hospital-image.jpg,33.52078,71.050096
Ikram Hospital,Gujrat,Bhimbar road near Gujrat Hospital Marghzar Colony Gujrat,https://static.marham.pk/assets/images/default-hospital-image.jpg,32.584693,74.076405
City Hospital,Gujrat,Jail Road Area Jail Road Gujrat,https://static.marham.pk/assets/images/default-hospital-image.jpg,,
Shifa Hospital,Gujrat,Near Doctors Hospital Jail Road Area Gujrat,https://static.marham.pk/assets/images/default-hospital-image.jpg,32.586751,74.077486
Maryam Hospital,Gujrat,Opposite Bandhan Marriage Hall? Rehman Shaheed Road Rehman Shaheed Road Gujrat,https://static.marham.pk/assets/images/default-hospital-image.jpg,,
Al Muzammil Medical Center,Gujrat,34 Marghzar Colony Gujrat,https://static.marham.pk/assets/images/default-hospital-image.jpg,,
Robina Sajid Hospital,Gujrat,Qamar Sialvi Road Gulberg Colony Gujrat,https://static.marham.pk/assets/images/default-hospital-image.jpg,32.576332,74.069742
Cantt Mother and Child Clinic Mehr Mohammed Khan Hospital,Jhelum,CMH road Jhelum Cantt. CMH road Jhelum Cantt. Jhelum,https://static.marham.pk/assets/images/default-hospital-image.jpg,,
Ameer Medical Complex,Jauharabad,Near Sadar thana Joharabad Jauharabad,https://static.marham.pk/assets/images/default-hospital-image.jpg,,
Ali Ahmad Khan Hospital,Jhang,Toba Tek Singh Road Jhang City Jhang,https://static.marham.pk/assets/images/default-hospital-image.jpg,31.326229,72.326675
Nadeem Eye And Skin Care Hospital,Gojra,"Mohallah sheikhan Street No2, Quaid-e-Azam Rd Quaid-e-Azam Rd Gojra",https://static.marham.pk/assets/images/default-hospital-image.jpg,31.148678,72.686744
The Doctors Hospital Gojra,Gojra,Toba Tek Singh District Pansra Road Gojra,https://static.marham.pk/assets/images/default-hospital-image.jpg,,
SAIRA LIAQAT CLINIC,Gojra,"Gojra,  District, Punjab, Pakistan Toba Tek Singh Gojra",https://static.marham.pk/assets/images/default-hospital-image.jpg,31.137124,72.676863
Hafiz Hanif Children Clinic,Gojra,"4MGC+HVH, Chak 298 JB toba tek sing road Toba Tek Singh Gojra",https://static.marham.pk/assets/images/default-hospital-image.jpg,31.126435,72.672226
Rameez Dental Clinic,Gojra,Civil Club Chowk Jhang Road Gojra,https://static.marham.pk/assets/images/default-hospital-image.jpg,31.150821,72.680635
Al-Barkat Hospital,Gojra,"Faisalabad Rd, Gojra, Toba Tek Singh District, Punjab Tufail Colony Gojra",https://static.marham.pk/assets/images/default-hospital-image.jpg,31.16242,72.690426
Rehman Hospital,Gujar Khan,Housing scheme No. 1 near DSP office GT Road Gujar Khan,https://static.marham.pk/assets/images/default-hospital-image.jpg,,
Citi Nursing Home,Gujar Khan,"C-62, Housing Scheme No.1 Grand Trunk Road, 252-B, DSP office street Gujar Khan Gujar Khan",https://static.marham.pk/assets/images/default-hospital-image.jpg,,
The Jeevan Dental care,Gujar Khan,lakar katha road opposite to thq Hospital Gujar Khan Gujar Khan,https://static.marham.pk/assets/images/default-hospital-image.jpg,,
Al Abbas Medical & Surgical Hospital,Gujar Khan,"Near Tafreegah, DSP office Road DSP office Road Gujar Khan",https://static.marham.pk/assets/images/default-hospital-image.jpg,,
Emaan hospital,Gujar Khan,DSP office street Scheme no 1 0 Gujar Khan,https://static.marham.pk/assets/images/default-hospital-image.jpg,,
Tayyab Dental Surgery,Gujar Khan,NEAR CITY PALACE MARRIAGE HALL MAIN G.T ROAD city palace Gujar Khan,https://static.marham.pk/assets/images/default-hospital-image.jpg,,
Multi Care Center,Gilgit,"Shahzada Market, Jutial gilgit Gilgit",https://static.marham.pk/assets/images/default-hospital-image.jpg,,
Agha khan medical Centre,Gilgit,Gilgit gilgit Gilgit,https://static.marham.pk/assets/images/default-hospital-image.jpg,,
Tabarak Medical Complex TMC,Gilgit,Near public school chowk Gilgit gilgit Gilgit,https://static.marham.pk/assets/images/default-hospital-image.jpg,,
Medciti medical center,Gilgit,Opposite CMH Gilgit gilgit Gilgit,https://static.marham.pk/assets/images/default-hospital-image.jpg,,
Ali Surgical Centre,Gilgit,Shahrah-e-Quaid-e-Azam gilgit Gilgit,https://static.marham.pk/assets/images/default-hospital-image.jpg,35.915309,74.32615
Agha Diagnostic Centre,Gilgit,judiyal gilgit Gilgit,https://static.marham.pk/assets/images/default-hospital-image.jpg,,
Rehman Hospital,Fazilpur,"Haji pur road, Fazilpur, District RajanPur Rajanpur District Fazilpur",https://static.marham.pk/assets/images/default-hospital-image.jpg,,
Haleema Surgical Hospital,shorkot,Jhang road 0 shorkot,https://static.marham.pk/assets/images/default-hospital-image.jpg,,
AlHadi Homoeo Clinic,shorkot,"House No.188, Ward 1 Dr. Sial Street Cantonment shorkot",https://static.marham.pk/assets/images/default-hospital-image.jpg,30.787753,72.246357
ALI CHILDREN CLINIC,shorkot,"City Road, Shorkot Cantt Cant shorkot",https://static.marham.pk/assets/images/default-hospital-image.jpg,,
Mussarat Razzaque Hospital,Lahore,"196 G. T. Road, Singhpura, Lahore Near The Bank Of Punjab Lahore",https://static.marham.pk/assets/images/default-hospital-image.jpg,31.581837,74.376155
Omc Hospital,Lahore,15-Shadman II Jail Road Lahore,https://static.marham.pk/assets/hospitals/3/omc-69_450X450.jpeg,31.535785,74.340401
Paralysis Parkinson Center by Dr Umer Maqsood,Lahore,Wapda Town Phase-1 Wapda town Lahore,https://static.marham.pk/assets/images/default-hospital-image.jpg,31.434973,74.268732
Professors Colony Medical Center,Lahore,"Lane 5 Campus Colony near Model Girls High School , Civil Lines Lahore",https://static.marham.pk/assets/images/default-hospital-image.jpg,,
Punjab Rangers Teaching Hospital,Lahore,"Alamdar Rd, Jorry pull Cant Lahore",https://static.marham.pk/assets/images/default-hospital-image.jpg,31.544149,74.41027
Rehab Heal,Lahore,676 shadman-1 pakistan floor mills association shadman Lahore,https://static.marham.pk/assets/images/default-hospital-image.jpg,,
Hijab Clinic,Lahore,Block A Revenue Employees Cooperative Housing Society Johar Town Lahore,https://static.marham.pk/assets/images/default-hospital-image.jpg,31.470679,74.257522
Jinni Healthcare Services Hospital,Lahore,11 K2 Rehmat chowk Wapda Town Extension Lahore,https://static.marham.pk/assets/images/default-hospital-image.jpg,31.52037,74.358747
Lahore Residency & Rehabilitation Centre,Lahore,"House Number 396, Sector C1 Block 3 Twp Sector C 1 Township Lahore",https://static.marham.pk/assets/images/default-hospital-image.jpg,31.442945,74.304972
Mahtab Pharmacy,Lahore,"23 F , Phase 1  Sector F Commercial Area Sector DHA Defence Lahore",https://static.marham.pk/assets/images/default-hospital-image.jpg,31.484963,74.392879
Med East Hospital Paragon,Lahore,"C-1 Office Block Commercial, Paragon City Paragon City Lahore",https://static.marham.pk/assets/images/default-hospital-image.jpg,31.532781,74.453831
Medlane Dental Clinic Aesthetics & Rehabilitation,Lahore,"1st floor, 17-A, Commercial Sector A, Phase 5, DHA Phase 5, DHA Lahore",https://static.marham.pk/assets/images/default-hospital-image.jpg,31.461521,74.423702
